Topic,Count,Name,Representation,Representative_Docs
-1,1781,-1_疫情_加油_西安_西安市,"['疫情', '加油', '西安', '西安市', '陕西', '防控', '2022', '工作', '抗疫', '河南']","['西安 新增 病例 中有 13 例在 隔离 管控 中 发现 月 10 日 下午 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 52 场 通报 西安市 疫情 防控 工作 情况 西安市 卫生 健康 委副 主任 张波 介绍 月 日 时 24 时 西安市 新增 本土 确诊 病例 15 例 新增 15 例 确诊 病例 中 发现 方式 隔离 管控 发现 13 例 含封 控区 \u200b', '抗击 疫情 陕西 新浪 晚报 抗击 疫情 特刊 月 13 日 消息 西安市 未央区 发布 有序 恢复 生产 生活 秩序 通告 2022 年 月 15 日 零时 天 每户 外出 次 每次 超过 小时 社区 周边 划定 区域 购买 生活 物资 新浪 陕西 推出 新浪 晚报 抗击 疫情 特刊 每日 聚焦 当日 疫情 热点 提供 城市 服务 \u200b', '陕西 本轮 疫情 累计 报告 病例 治愈 20% 现有 重型 危重 型 12 例 月 11 日 记者 西安市 政府 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 53 场 2022 年 月 10 日 时 24 时 西安市 新增 本土 确诊 病例 13 例 2021 年 12 月 日 时 2022 年 月 10 日 24 时 全市 累计 报告 本土 确诊 病例 2017 例 月 10 日 24 时 \u200b']"
0,135,0_平平安安_希望_活着_平安,"['平平安安', '希望', '活着', '平安', '重庆', '青海', '地震', '感觉', '凌晨', '半夜']","['一物降 一物 比喻 宇宙 万物 相生相克 生生不息 一种 事物 一种 事物 制服 青海 门源 地震 释放 逃逸 物质 使肆 掠 全球 新冠 病毒 遭遇 克星 新冠 疫情 也许 拐点 应 俗语 卤水 点 豆腐 一物降 一物 现象 近日 短 视频 青海 门源 本月 日 凌晨 发生 6.9 级 \u200b', '一物降 一物 比喻 宇宙 万物 相生相克 生生不息 一种 事物 一种 事物 制服 青海 门源 地震 释放 逃逸 物质 使肆 掠 全球 新冠 病毒 遭遇 克星 新冠 疫情 也许 拐点 应 俗语 卤水 点 豆腐 一物降 一物 现象 近日 短 视频 青海 门源 本月 日 凌晨 发生 6.9 级 \u200b', '好多 事 昨天 重庆 武隆 食堂 爆炸 半夜 青海 地震 甘肃 地震 疫情 希望 没事 🙏 🙏 🙏 \u200b']"
1,132,1_愿望_一年_2021_新年,"['愿望', '一年', '2021', '新年', '镜头', '大军', '交替', '新旧', '旅行', '2022']","['西安 防疫 志愿者 新年 愿望 2021 年 12 月 31 日 陕西 西安 疫情 各行各业 志愿者 抗疫 大军 新年 到来 愿望 新旧 年 交替 节点 镜头 记录 朴实 愿望 O 西安 防疫 志愿者 新年 愿望 L 澎湃 新闻 微博 视频 \u200b', '西安 防疫 志愿者 新年 愿望 2021 年 12 月 31 日 陕西 西安 疫情 各行各业 志愿者 抗疫 大军 新年 到来 愿望 新旧 年 交替 节点 镜头 记录 朴实 愿望 O 西安 防疫 志愿者 新年 愿望 L 澎湃 新闻 微博 视频 \u200b', '西安 防疫 志愿者 新年 愿望 2021 年 12 月 31 日 陕西 西安 疫情 各行各业 志愿者 抗疫 大军 新年 到来 愿望 新旧 年 交替 节点 镜头 记录 朴实 愿望 O 西安 防疫 志愿者 新年 愿望 L 澎湃 新闻 微博 视频 \u200b']"
2,124,2_城墙_明长城_塌损_单位,"['城墙', '明长城', '塌损', '单位', '文保', '两米', '清晰可见', '豁口', '大小不一', '本体']","['青海 地震 明长城 约 米 墙体 塌损 月 日 青海 海北 门源 6.9 级 地震 距离 震中 114 公里 甘肃 张掖 山丹县 震感 文保 单位 排查 山丹 境内 全国 重点 文物保护 单位 汉 明长城 中 明长城 本体 约 两米 城墙 发生 塌损 记者 现场 城墙 豁口 清晰可见 大小不一 夯土 块 堆积 城墙 脚下 \u200b', '青海 地震 明长城 约 米 墙体 塌损 月 日 青海 海北 门源 6.9 级 地震 距离 震中 114 公里 甘肃 张掖 山丹县 震感 文保 单位 排查 山丹 境内 全国 重点 文物保护 单位 汉 明长城 中 明长城 本体 约 两米 城墙 发生 塌损 记者 现场 城墙 豁口 清晰可见 大小不一 夯土 块 堆积 城墙 脚下 \u200b', '青海 地震 明长城 约 米 墙体 塌损 月 日 青海 海北 门源 6.9 级 地震 距离 震中 114 公里 甘肃 张掖 山丹县 震感 文保 单位 排查 山丹 境内 全国 重点 文物保护 单位 汉 明长城 中 明长城 本体 约 两米 城墙 发生 塌损 记者 现场 城墙 豁口 清晰可见 大小不一 夯土 块 堆积 城墙 脚下 \u200b']"
3,88,3_救护车_许凯_考研_车牌,"['救护车', '许凯', '考研', '车牌', '道谢', '小伙', '驰援', '深夜', '健身', '美术']","['陕西 小伙 深夜 驰援 西安 救护车 牌前 隔空 道谢 陕西 小伙 深夜 记录 驰援 西安 救护车 车牌 近日 陕西 小伙 许凯 来到 西安 一处 救护车 停车场 驰援 救护车 前 许凯 总会 说 一句 车牌 所在地 方言 道谢 疫情 发生 许凯 成立 爱心 厨房 外地 西安 抗 疫 救护车 工作人员 防疫 人员 \u200b', '陕西 小伙 深夜 驰援 西安 救护车 牌前 隔空 道谢 陕西 小伙 深夜 记录 驰援 西安 救护车 车牌 近日 陕西 小伙 许凯 来到 西安 一处 救护车 停车场 驰援 救护车 前 许凯 总会 说 一句 车牌 所在地 方言 道谢 疫情 发生 许凯 成立 爱心 厨房 外地 西安 抗 疫 救护车 工作人员 防疫 人员 \u200b', '陕西 小伙 深夜 驰援 西安 救护车 牌前 隔空 道谢 陕西 小伙 深夜 记录 驰援 西安 救护车 车牌 近日 陕西 小伙 许凯 来到 西安 一处 救护车 停车场 驰援 救护车 前 许凯 总会 说 一句 车牌 所在地 方言 道谢 疫情 发生 许凯 成立 爱心 厨房 外地 西安 抗 疫 救护车 工作人员 防疫 人员 \u200b']"
4,79,4_自治区_直辖市_个省_新增,"['自治区', '直辖市', '个省', '新增', '新疆生产建设兵团', '河南', '郑州市', '本土', '浙江', '广东']","['四川 疾控 健康 提示 2022 年 月 日 24 时 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 本土 确诊 病例 92 例 河南 56 例 许昌市 39 例 郑州市 11 例 洛阳市 例 安阳市 例 商丘市 例 滑县 例 陕西 30 例 均 西安市 天津 例 津南区 例 南开区 例 浙江 例 均 宁波市 广东 例 深 \u200b', '本土 新增 病例 陕西 浙江 河南 月 日 00 24 00 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 确诊 病例 191 例 境外 输入 病例 60 例 上海 18 例 广东 10 例 福建 例 广西 例 天津 例 四川 例 浙江 例 山东 例 辽宁 例 云南 例 含 例由 无症状 感染者 转为 确诊 病例 广东 例 四 \u200b', '西安 疫情 陕西 新增 15 例 ## 西安 新增 15 例 月 日 24 时 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 确诊 病例 157 例 境外 输入 病例 60 例 上海 26 例 广东 例 云南 例 福建 例 天津 例 浙江 例 广西 例 辽宁 例 河南 例 湖南 例 四川 例 含 例由 无症状 感染者 转为 确诊 \u200b']"
5,71,5_传播者_超级_排毒_较强,"['传播者', '超级', '排毒', '较强', '早期', '能力', '感染', '43', '日到', '是因为']","['超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 陕西 疫情 防控 O 网页 链接 \u200b \u200b \u200b', '超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 陕西 疫情 防控 O 网页 链接 \u200b', '超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 陕西 疫情 防控 O 网页 链接 \u200b']"
6,71,6_一策_一地_举措_游戏,"['一策', '一地', '举措', '游戏', '欧利', '卫士', '教育厅', '河南', '广东', '群殴']","['天津 河南 广东 陕西 举措 抗击 疫情 O 天津 河南 广东 陕西 举措 抗击 疫情 \u200b', '陕西 教育厅 一刀切 ## 陕西 大学生 隔离 日子 出花 哈哈哈哈 我服 陕西 西安 一座 城市 人低 风险 例 城市 陪 跑 留着 到时候 春运 爆发 一波 一地 一策 疫情 防控 隔 周末 线下 补课 🐮 头 🐴 嘴 陕西省 教育厅 宝鸡 \u200b', '陕西 教育厅 一刀切 陕 一刀 滚 行不行 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 一策 一地 \u200b']"
7,68,7_甘肃省_抗震救灾_应急_人员伤亡,"['甘肃省', '抗震救灾', '应急', '人员伤亡', '里氏', '响应', '核查', '震后', '公路', '启动']","['青海 门源 地震 暂未 甘肃 人员伤亡 平安 甘肃 暂未 收到 因震 人员伤亡 报告 日 青海 门源 发生 里氏 6.9 级 地震 震源 深度 10 公里 震中 甘肃省 界 公里 甘肃省 第一 时间 启动 抗震救灾 级 应急 响应 部门 投入 抗震救灾 初步 核查 甘肃省 抗震救灾 指挥部 未 接到 人员伤亡 报告 L 新华网 微博 视频 \u200b', '平安 甘肃 暂未 收到 因震 人员伤亡 报告 日 青海 门源 发生 里氏 6.9 级 地震 震源 深度 10 公里 震中 甘肃省 界 公里 甘肃省 第一 时间 启动 抗震救灾 级 应急 响应 部门 投入 抗震救灾 初步 核查 甘肃省 抗震救灾 指挥部 未 接到 人员伤亡 报告 L 新华网 微博 视频 \u200b', '平安 甘肃 暂未 收到 因震 人员伤亡 报告 日 青海 门源 发生 里氏 6.9 级 地震 震源 深度 10 公里 震中 甘肃省 界 公里 甘肃省 第一 时间 启动 抗震救灾 级 应急 响应 部门 投入 抗震救灾 初步 核查 甘肃省 抗震救灾 指挥部 未 接到 人员伤亡 报告 L 新华网 微博 视频 \u200b']"
8,67,8_逃生_技巧_绝处逢生_有助于,"['逃生', '技巧', '绝处逢生', '有助于', '减轻', '记牢', '意外', '科学', '常识', '伤害']","['青海 门源 5.2 级 地震 地震 时 绝处逢生 科学 避险 方法 逃生 技巧 有助于 减轻 灾害 带来 意外 伤害 地震 逃生 常识 记牢 L 中国 消防 微博 视频 \u200b \u200b \u200b', '青海 门源 5.2 级 地震 地震 时 绝处逢生 科学 避险 方法 逃生 技巧 有助于 减轻 灾害 带来 意外 伤害 地震 逃生 常识 记牢 L 中国 消防 微博 视频 \u200b \u200b \u200b', '青海 门源 5.2 级 地震 地震 时 绝处逢生 科学 避险 方法 逃生 技巧 有助于 减轻 灾害 带来 意外 伤害 地震 逃生 常识 记牢 L 中国 消防 微博 视频 \u200b']"
